budget,seed_id,seed,pair_id,expected_verdict,safety_category,mutation_operator,verdict,runtime_ms,counterexample
32,1,26172117,campaignvault_safe_02_extract_internal_function,Safe,safe,extract_internal_function,Safe,0.5633,
32,1,26172118,campaignvault_safe_03_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.5517,
32,1,26172119,campaignvault_unsafe_behavior_01_conditional_event,Unsafe,behavior,conditional_event,Unknown,0.332,
32,1,26172120,campaignvault_unsafe_behavior_02_revert_data_change,Unsafe,behavior,revert_data_change,Safe,0.5691,
32,1,26172121,campaignvault_unsafe_behavior_03_unsupported_hash_return,Unsafe,behavior,unsupported_hash_return,Unknown,0.3632,
32,1,26172122,markethub_safe_01_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,1,26172123,markethub_safe_02_rename_local_variable,Safe,safe,rename_local_variable,Safe,0.6949,
32,1,26172124,markethub_safe_03_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.5427,
32,1,26172125,markethub_unsafe_behavior_01_arithmetic_operator_change,Unsafe,behavior,arithmetic_operator_change,Unsafe,0.4156,"{""active"": true, ""amount"": 11212, ""balance"": 301745, ""call_ok"": true, ""limit"": 49016, ""owner_zero"": false, ""sender_owner"": false, ""total"": 651506}"
32,1,26172126,markethub_unsafe_behavior_02_comparison_operator_change,Unsafe,behavior,comparison_operator_change,Safe,0.5901,
32,1,26172127,markethub_unsafe_behavior_03_omit_state_update,Unsafe,behavior,omit_state_update,Unsafe,0.3648,"{""active"": true, ""amount"": 37373, ""balance"": 697004, ""call_ok"": false, ""limit"": 47688, ""owner_zero"": true, ""sender_owner"": false, ""total"": 140822}"
32,1,26172128,listingmarket_safe_01_add_function,Safe,safe,add_function,Safe,0.0,
32,1,26172129,listingmarket_safe_02_add_event,Safe,safe,add_event,Safe,0.0,
32,1,26172130,listingmarket_safe_03_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,1,26172131,listingmarket_unsafe_behavior_01_wrong_state_variable,Unsafe,behavior,wrong_state_variable,Unsafe,0.3867,"{""active"": true, ""amount"": 37786, ""balance"": 268270, ""call_ok"": true, ""limit"": 40154, ""owner_zero"": false, ""sender_owner"": true, ""total"": 353015}"
32,1,26172132,listingmarket_unsafe_behavior_02_return_value_change,Unsafe,behavior,return_value_change,Unsafe,0.387,"{""active"": true, ""amount"": 11180, ""balance"": 382324, ""call_ok"": true, ""limit"": 39488, ""owner_zero"": true, ""sender_owner"": true, ""total"": 965371}"
32,1,26172133,listingmarket_unsafe_behavior_03_omit_event,Unsafe,behavior,omit_event,Unsafe,0.3852,"{""active"": true, ""amount"": 55480, ""balance"": 937427, ""call_ok"": false, ""limit"": 60920, ""owner_zero"": false, ""sender_owner"": false, ""total"": 796421}"
32,1,26172134,rewardpool_safe_01_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,1,26172135,rewardpool_safe_02_add_function,Safe,safe,add_function,Safe,0.0,
32,1,26172136,rewardpool_safe_03_add_event,Safe,safe,add_event,Safe,0.0,
32,1,26172137,rewardpool_unsafe_behavior_01_remove_require,Unsafe,behavior,remove_require,Unsafe,0.419,"{""active"": false, ""amount"": 7106, ""balance"": 726086, ""call_ok"": false, ""limit"": 54763, ""owner_zero"": false, ""sender_owner"": true, ""total"": 388396}"
32,1,26172138,rewardpool_unsafe_behavior_02_change_revert_condition,Unsafe,behavior,change_revert_condition,Unsafe,0.3843,"{""active"": true, ""amount"": 2470, ""balance"": 581015, ""call_ok"": false, ""limit"": 6477, ""owner_zero"": false, ""sender_owner"": true, ""total"": 535414}"
32,1,26172139,rewardpool_unsafe_behavior_03_remove_access_modifier,Unsafe,behavior,remove_access_modifier,Unsafe,0.3621,"{""active"": true, ""amount"": 24809, ""balance"": 536842, ""call_ok"": true, ""limit"": 12107, ""owner_zero"": true, ""sender_owner"": false, ""total"": 729851}"
32,1,26172140,incentivevault_safe_01_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.5574,
32,1,26172141,incentivevault_safe_02_valid_domain_guard,Safe,safe,valid_domain_guard,Safe,0.6043,
32,1,26172142,incentivevault_safe_03_consume_storage_gap,Safe,safe,consume_storage_gap,Safe,0.0,
32,1,26172143,incentivevault_unsafe_behavior_01_change_call_recipient,Unsafe,behavior,change_call_recipient,Unsafe,0.4347,"{""active"": false, ""amount"": 35230, ""balance"": 100806, ""call_ok"": true, ""limit"": 43132, ""owner_zero"": true, ""sender_owner"": true, ""total"": 1021403}"
32,1,26172144,incentivevault_unsafe_behavior_02_external_call_order_change,Unsafe,behavior,external_call_order_change,Unsafe,0.4327,"{""active"": true, ""amount"": 54893, ""balance"": 596291, ""call_ok"": true, ""limit"": 28494, ""owner_zero"": true, ""sender_owner"": true, ""total"": 751913}"
32,1,26172145,incentivevault_unsafe_behavior_03_success_to_revert,Unsafe,behavior,success_to_revert,Unsafe,0.3915,"{""active"": true, ""amount"": 26029, ""balance"": 1030122, ""call_ok"": false, ""limit"": 46919, ""owner_zero"": false, ""sender_owner"": true, ""total"": 337621}"
32,2,26272026,tokenledger_safe_01_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,2,26272027,tokenledger_safe_02_add_function,Safe,safe,add_function,Safe,0.0,
32,2,26272028,tokenledger_safe_03_add_event,Safe,safe,add_event,Safe,0.0,
32,2,26272029,tokenledger_unsafe_behavior_01_arithmetic_operator_change,Unsafe,behavior,arithmetic_operator_change,Unsafe,0.4333,"{""active"": true, ""amount"": 11789, ""balance"": 791641, ""call_ok"": false, ""limit"": 26073, ""owner_zero"": true, ""sender_owner"": true, ""total"": 366242}"
32,2,26272030,tokenledger_unsafe_behavior_02_comparison_operator_change,Unsafe,behavior,comparison_operator_change,Safe,0.573,
32,2,26272031,tokenledger_unsafe_behavior_03_omit_state_update,Unsafe,behavior,omit_state_update,Unsafe,0.3789,"{""active"": true, ""amount"": 39221, ""balance"": 775390, ""call_ok"": true, ""limit"": 48953, ""owner_zero"": true, ""sender_owner"": false, ""total"": 111666}"
32,2,26272032,tokenrewards_safe_01_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,2,26272033,tokenrewards_safe_02_rename_local_variable,Safe,safe,rename_local_variable,Safe,0.5845,
32,2,26272034,tokenrewards_safe_03_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.5229,
32,2,26272035,tokenrewards_unsafe_behavior_01_wrong_state_variable,Unsafe,behavior,wrong_state_variable,Unsafe,0.4009,"{""active"": true, ""amount"": 6820, ""balance"": 825499, ""call_ok"": true, ""limit"": 44890, ""owner_zero"": false, ""sender_owner"": false, ""total"": 251041}"
32,2,26272036,tokenrewards_unsafe_behavior_02_return_value_change,Unsafe,behavior,return_value_change,Unsafe,0.3687,"{""active"": true, ""amount"": 20186, ""balance"": 1024601, ""call_ok"": true, ""limit"": 29877, ""owner_zero"": false, ""sender_owner"": true, ""total"": 906385}"
32,2,26272037,tokenrewards_unsafe_behavior_03_omit_event,Unsafe,behavior,omit_event,Unsafe,0.3461,"{""active"": true, ""amount"": 5487, ""balance"": 882442, ""call_ok"": false, ""limit"": 43423, ""owner_zero"": false, ""sender_owner"": true, ""total"": 501517}"
32,2,26272038,vaultguard_safe_01_extract_internal_function,Safe,safe,extract_internal_function,Safe,0.5537,
32,2,26272039,vaultguard_safe_02_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.6115,
32,2,26272040,vaultguard_safe_03_valid_domain_guard,Safe,safe,valid_domain_guard,Safe,0.5788,
32,2,26272041,vaultguard_unsafe_behavior_01_remove_require,Unsafe,behavior,remove_require,Unsafe,0.3475,"{""active"": false, ""amount"": 23935, ""balance"": 216056, ""call_ok"": false, ""limit"": 40922, ""owner_zero"": true, ""sender_owner"": true, ""total"": 522705}"
32,2,26272042,vaultguard_unsafe_behavior_02_change_revert_condition,Unsafe,behavior,change_revert_condition,Unsafe,0.3979,"{""active"": true, ""amount"": 3394, ""balance"": 334733, ""call_ok"": true, ""limit"": 21914, ""owner_zero"": false, ""sender_owner"": true, ""total"": 567127}"
32,2,26272043,vaultguard_unsafe_behavior_03_remove_access_modifier,Unsafe,behavior,remove_access_modifier,Unsafe,0.4096,"{""active"": true, ""amount"": 41389, ""balance"": 603716, ""call_ok"": true, ""limit"": 44826, ""owner_zero"": true, ""sender_owner"": false, ""total"": 931643}"
